날짜,스트레스,날짜,탈모
2016-07-14,3.81062,2016-07-14,8.12163
2016-07-15,3.31023,2016-07-15,5.81216
2016-07-16,3.54118,2016-07-16,7.50577
2016-07-17,2.77136,2016-07-17,8.62201
2016-07-18,4.34949,2016-07-18,7.3903
2016-07-19,4.34949,2016-07-19,7.50577
2016-07-20,4.7729,2016-07-20,6.35103
2016-07-21,4.34949,2016-07-21,7.15935
2016-07-22,3.73364,2016-07-22,5.96612
2016-07-23,3.0408,2016-07-23,5.11932
2016-07-24,3.0023,2016-07-24,7.00538
2016-07-25,3.31023,2016-07-25,7.46728
2016-07-26,3.57967,2016-07-26,7.77521
2016-07-27,3.34872,2016-07-27,7.65973
2016-07-28,3.4642,2016-07-28,6.0816
2016-07-29,3.27174,2016-07-29,7.00538
2016-07-30,2.84834,2016-07-30,6.54349
2016-07-31,3.27174,2016-07-31,7.08237
2016-08-01,3.34872,2016-08-01,6.9284
2016-08-02,3.65665,2016-08-02,8.54503
2016-08-03,3.0023,2016-08-03,7.89068
2016-08-04,3.73364,2016-08-04,8.62201
2016-08-05,3.57967,2016-08-05,5.42725
2016-08-06,2.73287,2016-08-06,5.92763
2016-08-07,3.0408,2016-08-07,6.0816
2016-08-08,3.65665,2016-08-08,8.2371
2016-08-09,3.31023,2016-08-09,10.77752
2016-08-10,4.311,2016-08-10,9.19938
2016-08-11,3.4642,2016-08-11,7.62124
2016-08-12,4.34949,2016-08-12,5.54272
2016-08-13,2.73287,2016-08-13,6.27405
2016-08-14,2.65588,2016-08-14,6.88991
2016-08-15,2.46343,2016-08-15,6.35103
2016-08-16,3.0408,2016-08-16,11.23941
2016-08-17,3.54118,2016-08-17,8.16012
2016-08-18,4.04157,2016-08-18,6.96689
2016-08-19,4.84988,2016-08-19,6.85142
2016-08-20,2.65588,2016-08-20,6.88991
2016-08-21,2.77136,2016-08-21,10.04618
2016-08-22,3.19476,2016-08-22,11.85527
2016-08-23,4.15704,2016-08-23,12.27867
2016-08-24,4.65742,2016-08-24,10.16166
2016-08-25,3.65665,2016-08-25,9.19938
2016-08-26,3.81062,2016-08-26,7.89068
2016-08-27,3.57967,2016-08-27,6.19707
2016-08-28,3.84911,2016-08-28,7.69822
2016-08-29,4.73441,2016-08-29,7.89068
2016-08-30,5.88914,2016-08-30,9.93071
2016-08-31,6.42802,2016-08-31,8.35257
2016-09-01,5.58121,2016-09-01,9.16089
2016-09-02,5.00384,2016-09-02,7.89068
2016-09-03,5.81216,2016-09-03,7.27482
2016-09-04,3.73364,2016-09-04,8.54503
2016-09-05,5.46574,2016-09-05,8.16012
2016-09-06,5.1963,2016-09-06,8.58352
2016-09-07,5.65819,2016-09-07,8.08314
2016-09-08,4.84988,2016-09-08,7.73672
2016-09-09,5.58121,2016-09-09,7.27482
2016-09-10,3.4642,2016-09-10,7.12086
2016-09-11,4.96535,2016-09-11,6.62047
2016-09-12,3.69515,2016-09-12,8.6605
2016-09-13,3.50269,2016-09-13,6.65896
2016-09-14,3.4642,2016-09-14,5.42725
2016-09-15,2.65588,2016-09-15,6.19707
2016-09-16,2.96381,2016-09-16,6.54349
2016-09-17,4.15704,2016-09-17,6.77444
2016-09-18,4.65742,2016-09-18,9.39183
2016-09-19,4.92686,2016-09-19,8.54503
2016-09-20,5.27328,2016-09-20,9.39183
2016-09-21,5.15781,2016-09-21,7.96766
2016-09-22,5.08083,2016-09-22,7.62124
2016-09-23,4.61893,2016-09-23,9.31485
2016-09-24,4.61893,2016-09-24,6.73595
2016-09-25,4.15704,2016-09-25,7.12086
2016-09-26,4.65742,2016-09-26,6.65896
2016-09-27,5.04234,2016-09-27,8.27559
2016-09-28,5.58121,2016-09-28,8.35257
2016-09-29,5.11932,2016-09-29,7.27482
2016-09-30,5.00384,2016-09-30,8.35257
2016-10-01,3.8876,2016-10-01,7.42879
2016-10-02,3.96458,2016-10-02,6.62047
2016-10-03,5.27328,2016-10-03,8.50654
2016-10-04,5.73518,2016-10-04,9.66127
