발생월,주야,사고건수,사망자수,중상자수,경상자수,부상신고자수
1,주,8682,98,2209,9440,759
1,야,5798,92,1539,6349,530
2,주,8056,95,2149,8710,710
2,야,5228,86,1419,5553,500
3,주,10393,109,2600,11132,880
3,야,5607,78,1449,5930,467
4,주,10460,93,2797,11356,1055
4,야,5876,89,1609,6181,551
5,주,11668,135,3132,12618,1178
5,야,5884,68,1576,6233,603
6,주,10962,114,2881,11797,1092
6,야,5754,88,1601,5893,613
7,주,10647,105,2755,11552,1138
7,야,5931,100,1554,6165,549
8,주,11185,136,2990,12252,1111
8,야,6027,110,1632,6287,641
9,주,11458,130,3063,12396,1119
9,야,6402,109,1777,6559,737
10,주,11039,141,3186,11609,1102
10,야,6294,124,1814,6383,559
11,주,11397,139,3143,12183,1081
11,야,6351,118,1706,6565,620
12,주,10540,107,2691,11407,1003
12,야,6657,87,1717,7019,643
